biosample	DHS	ATAC	H3K27ac	default_accessibility_feature	HiC_file	HiC_type	HiC_resolution	alt_TSS	alt_genes	H3K4me1	H3K4me3	H3K27me3	H3K36me3	H3K9me3	supplementary_features
HCT116_BRD4_auxin		../ENCODE/HCT116_BRD4_auxin_ATAC_1.bam,../ENCODE/HCT116_BRD4_auxin_ATAC_2.bam	../ENCODE/HCT116_BRD4_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_BRD4_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_BRD4_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_BRD4_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_BRD4_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_BRD4_auxin.tsv
HCT116_CDK7_ctrl		../ENCODE/HCT116_CDK7_ctrl_ATAC_1.bam,../ENCODE/HCT116_CDK7_ctrl_ATAC_2.bam	../ENCODE/HCT116_CDK7_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_CDK7_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_CDK7_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_CDK7_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_CDK7_ctrl.tsv
HCT116_CDK7_auxin		../ENCODE/HCT116_CDK7_auxin_ATAC_1.bam,../ENCODE/HCT116_CDK7_auxin_ATAC_2.bam	../ENCODE/HCT116_CDK7_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_CDK7_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_CDK7_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_CDK7_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_CDK7_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_CDK7_auxin.tsv
HCT116_CTCF_ctrl		../ENCODE/HCT116_CTCF_ctrl_ATAC_1.bam,../ENCODE/HCT116_CTCF_ctrl_ATAC_2.bam	../ENCODE/HCT116_CTCF_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_CTCF_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_CTCF_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_CTCF_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_CTCF_ctrl.tsv
HCT116_CTCF_auxin		../ENCODE/HCT116_CTCF_auxin_ATAC_1.bam,../ENCODE/HCT116_CTCF_auxin_ATAC_2.bam	../ENCODE/HCT116_CTCF_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_CTCF_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_CTCF_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_CTCF_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_CTCF_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_CTCF_auxin.tsv
HCT116_MED14_ctrl		../ENCODE/HCT116_MED14_ctrl_ATAC_1.bam,../ENCODE/HCT116_MED14_ctrl_ATAC_2.bam	../ENCODE/HCT116_MED14_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_MED14_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_MED14_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_MED14_ctrl_H3K4me3_MintChIP_1.bam		../ENCODE/HCT116_MED14_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_MED14_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_MED14_ctrl.tsv
HCT116_MED14_auxin		../ENCODE/HCT116_MED14_auxin_ATAC_1.bam,../ENCODE/HCT116_MED14_auxin_ATAC_2.bam	../ENCODE/HCT116_MED14_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_MED14_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_MED14_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_MED14_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_MED14_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_MED14_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_MED14_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_MED14_auxin.tsv
HCT116_POLR2A_ctrl		../ENCODE/HCT116_POLR2A_ctrl_ATAC_1.bam,../ENCODE/HCT116_POLR2A_ctrl_ATAC_2.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_POLR2A_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_POLR2A_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_POLR2A_ctrl.tsv
HCT116_POLR2A_auxin		../ENCODE/HCT116_POLR2A_auxin_ATAC_1.bam,../ENCODE/HCT116_POLR2A_auxin_ATAC_2.bam	../ENCODE/HCT116_POLR2A_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_POLR2A_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_POLR2A_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_POLR2A_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_POLR2A_auxin.tsv
HCT116_RAD21_ctrl		../ENCODE/HCT116_RAD21_ctrl_ATAC_1.bam,../ENCODE/HCT116_RAD21_ctrl_ATAC_2.bam	../ENCODE/HCT116_RAD21_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_RAD21_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_RAD21_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_RAD21_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_RAD21_ctrl.tsv
HCT116_RAD21_auxin		../ENCODE/HCT116_RAD21_auxin_ATAC_1.bam,../ENCODE/HCT116_RAD21_auxin_ATAC_2.bam	../ENCODE/HCT116_RAD21_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_RAD21_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_RAD21_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_RAD21_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_RAD21_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_RAD21_auxin.tsv
HCT116_SMARCA5_ctrl		../ENCODE/HCT116_SMARCA5_ctrl_ATAC_1.bam,../ENCODE/HCT116_SMARCA5_ctrl_ATAC_2.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_SMARCA5_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_SMARCA5_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_SMARCA5_ctrl.tsv
HCT116_SMARCA5_auxin		../ENCODE/HCT116_SMARCA5_auxin_ATAC_1.bam,../ENCODE/HCT116_SMARCA5_auxin_ATAC_2.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_SMARCA5_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_SMARCA5_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K27me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K36me3_MintChIP_1.bam	../ENCODE/HCT116_SMARCA5_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_SMARCA5_auxin.tsv
HCT116_SUPT16H_ctrl		../ENCODE/HCT116_SUPT16H_ctrl_ATAC_1.bam,../ENCODE/HCT116_SUPT16H_ctrl_ATAC_2.bam	../ENCODE/HCT116_SUPT16H_ctrl_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_SUPT16H_ctrl_HiC.hic	hic	5000			../ENCODE/HCT116_SUPT16H_ctrl_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_SUPT16H_ctrl_H3K4me3_MintChIP_1.bam			../ENCODE/HCT116_SUPT16H_ctrl_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_SUPT16H_ctrl.tsv
HCT116_SUPT16H_auxin		../ENCODE/HCT116_SUPT16H_auxin_ATAC_1.bam,../ENCODE/HCT116_SUPT16H_auxin_ATAC_2.bam	../ENCODE/HCT116_SUPT16H_auxin_H3K27ac_MintChIP_1.bam	ATAC	../ENCODE/HCT116_SUPT16H_auxin_HiC.hic	hic	5000			../ENCODE/HCT116_SUPT16H_auxin_H3K4me1_MintChIP_1.bam	../ENCODE/HCT116_SUPT16H_auxin_H3K4me3_MintChIP_1.bam	../ENCODE/HCT116_SUPT16H_auxin_H3K27me3_MintChIP_1.bam		../ENCODE/HCT116_SUPT16H_auxin_H3K9me3_MintChIP_1.bam	config/supplementary_features/HCT116_SUPT16H_auxin.tsv
